Proj_ID,Project_Name,Site Area (sqft),No_of_units,Density,TOP_Date,Unit_Age,Dist_to_mrt (m),MRT
1,BOULEVARD 88,"130,488.67",154,847.33,2023,0,550,Orchard
2,D'LEEDON,"840,049.00",1715,489.82,2014,9,460,Farrer Road
3,FOURTH AVENUE RESIDENCES,"199,406.47",476,418.92,2022,1,190,Sixth Avenue
4,HAUS ON HANDY,"51,626.00",188,274.61,2023,0,210,Dhoby Ghaut
5,HYLL ON HOLLAND,"138,105.00",319,432.93,2025,0,1050,Farrer Road
6,IRWELL HILL RESIDENCES,"137,627.00",540,254.86,2025,0,440,Great World
7,JERVOIS MANSION,"93,182.00",130,716.78,2026,0,1070,Tiong Bahru
8,KOPAR AT NEWTON,"125,278.68",378,331.43,2024,0,430,Newton
9,LEEDON GREEN,"316,708.00",638,496.41,2024,0,710,Farrer Road
10,MARTIN MODERN,"171,534.80",450,381.19,2021,2,740,Fort Canning
11,NOUVEL 18,"112,056.79",156,718.31,2014,9,1140,Orchard
12,ONE HOLLAND VILLAGE RESIDENCES,"291,912.00",296,986.19,2023,0,340,Holland Village
13,PULLMAN RESIDENCES NEWTON,"95,407.00",340,280.61,2023,0,100,Newton
14,ROYALGREEN,"174,177.00",285,611.15,2022,1,350,Sixth Avenue
15,RV ALTITUDE,"28,798.00",140,205.7,2022,1,310,Great World
16,THE AVENIR,"129,648.00",376,344.81,2023,0,420,Great World
17,THE HYDE,"66,952.00",117,572.24,2022,1,940,Newton
18,LES MAISONS NASSIM,66452,14,"4,746.57",2023,0,740,Napier
19,EDEN,33425,20,"1,671.25",2019,4,1000,Orchard
20,THE MARQ ON PATERSON HILL,125000,66,"1,893.94",2011,12,580,Orchard
21,PARK HOUSE,46967.4,56,838.7,2012,11,252,Orchard Boulevard
22,BOULEVARD VUE,44718.56,28,"1,597.09",2014,9,440,Orchard
23,KLIMT CAIRNHILL,62903,138,455.82,2025,0,640,Newton
